judge_position,pending_cases
chief judicial magistrate,989568
district and sessions court,982252
judicial magistrate court,649022
civil court,434334
civil judge senior division,378465
civil judge junior division,369652
criminal cases,326476
additional chief judicial magistrate,232929
family court,154489
chief metropolitan magistrate,144319
principal district and sessions court,134308
jmfc,129617
civil judge,103890
principal civil judge,99722
taluka court,80324
metropolitan magistrate court,74838
additional district judge,73733
principal civil judge senior division,64936
sub court,61509
principal civil judge junior division,56481
additional district and sessions court,48344
principal judge family court,46832
small cause court,38330
subdivisional judicial magistrate,37564
munsiff first class court,34935
city civil and sessions court,33548
motor accidents claims tribunal,33377
principal district judge,31183
1-jmfc,28664
labour court,20277
additional metropolitan magistrate court,17489
3-jmfc,17064
additional chief metropolitan magistrate,14807
principal sub court,13509
2-jmfc,13292
district munsiff first class,12926
munsiff,10676
district and sessional judge div.,9110
additional civil judge junior division,8958
outlying court,8208
bagaha,7280
industrial court,7205
junior division,6243
"motor vehicle court, nagpur.",6181
"judicial ist class magistrate court,changanacherry",6158
bidhannagar,5623
2-additional district judge,5603
civil division,5590
additional civil judge and judicial magistrate,5500
pocso,5315
fast track court,4962
chief judge court,4598
principal munsiff,4477
3-additional district and sessions court,4244
mm court,3977
munsiff magistrate court,3846
10-additional chief metropolitan magistrate,3772
sc st,3756
principal judge,3653
additional court,3610
bwndcis,3499
polc and poit,3328
in the court of senior division ichalkaranji,3215
railway ner,2732
additional judicial magistrate court,2700
district and additional sessions court,2619
additional motor accidents claims tribunal,2557
judl.ist class magistrate court-ii,2554
2-additional district and sessions court,2545
"judicial 1st class magistrate court, irinjalakuda",2519
m.m.c,2489
kaushambidj,2464
"judicial courts complex nahan, sirmaur, h.p.",2462
principal sub judge,2436
"j.m establishment, chatra, jharkhand",2387
city district and sessions court,2373
"m a c t, thrissur",2351
"judicial courts complex paonta sahib, sirmaur,h.p.",2292
principal subdivisional judicial magistrate,2276
principal district munsif,2270
judicial commissioner ranchi,2207
5-additional district and sessions court,2194
mahila court,2190
senior court hyderabad,2102
"judl. ist class magistrate court-i, muvattupuzha",1838
4-jmfc,1830
chief judicial civil magistrate,1803
4-additional district and sessions court,1791
1-additional civil judge and judicial magistrate,1731
2-judicial magistrate court,1712
additional civil judge senior division,1711
m a c t,1698
"j.f.m.c, ambalappuzha",1675
principal judicial magistrate court,1659
pjfc,1657
"sub judges, kancheepuram",1635
jcj court nalgonda,1598
usnagar_dj,1596
civil and chief court amreli,1578
judl. magistrate first class. jaleswar,1566
rahata court rahata dist. ahmednagar,1493
"m.a.c.t., alappuzha",1483
wac,1482
"newasa court, newasa",1453
6-metropolitan magistrate court,1450
subordinate judge,1425
c.j. s.d. court majalgaon.,1392
juvenile court,1389
cantonment court,1385
principal munsiff first class court,1377
magistrate court bastar at jagdalpur,1312
"special court to deal with mcop, coimbatore",1271
2-additional civil judge and judicial magistrate,1255
