state_code,dist_code,pending_cases
1,1,5123
1,2,10761
1,3,18604
1,4,19564
1,5,17109
1,7,20022
1,8,21955
1,9,35676
1,10,6696
1,11,6475
1,12,3427
1,13,18439
1,14,26063
1,15,16442
1,17,17172
1,18,13114
1,19,25502
1,20,32308
1,21,52538
1,23,68215
1,24,14408
1,25,50195
1,26,35723
1,27,22129
1,28,16682
1,29,14970
1,30,33561
1,31,18282
1,32,6334
1,33,3370
1,34,22888
1,35,16447
1,36,8201
1,37,22141
1,38,3688
1,39,2174
1,40,15219
1,41,3201
1,42,15932
1,43,266
2,2,12865
2,3,14495
2,4,18860
2,5,20738
2,7,11106
2,10,16232
2,11,21511
2,15,9865
2,17,11883
2,19,4844
2,20,16825
2,21,6037
2,23,13710
3,1,36511
3,2,10887
3,3,11942
3,4,12340
3,5,9991
3,6,9778
3,7,8379
3,8,5372
3,9,12431
3,10,10443
3,11,10161
3,12,14044
3,13,10237
3,14,10292
3,15,15679
3,16,8062
3,17,8787
3,18,19277
3,19,9303
3,20,63030
3,21,26202
3,22,17751
3,23,18164
3,24,16527
3,25,2697
3,26,28524
3,27,8109
3,28,8815
3,29,10072
3,30,3328
4,1,6324
4,2,35700
4,3,14598
4,4,32023
4,5,15952
4,6,22482
4,7,9437
4,8,21004
4,9,60850
4,10,28626
4,11,10686
4,12,22198
4,15,38688
4,16,2995
5,1,6679
5,2,14480
5,3,5881
5,4,7443
5,5,9691
5,6,10203
5,7,5177
5,8,3259
5,9,3792
5,10,6268
5,11,14677
6,1,15518
6,2,3403
6,3,1941
6,4,4593
6,5,3338
6,6,4681
6,7,4311
6,8,3962
6,9,2565
6,10,10735
6,11,4130
6,12,2927
6,13,4702
6,15,2828
6,16,5059
6,17,993
6,18,3462
6,19,2116
6,20,3841
6,21,3270
6,22,1610
6,23,3099
6,24,515
6,25,695
6,26,2068
6,27,1876
6,28,537
7,1,3637
7,2,2451
7,3,2786
7,4,1592
7,5,1814
7,6,3398
7,7,4056
7,8,1449
7,9,9897
7,10,5355
7,11,7543
7,12,1660
7,13,3515
7,14,1548
7,15,1898
7,16,4205
7,17,5227
7,18,688
7,19,1555
7,20,4047
7,21,1497
7,22,12330
7,23,2
7,24,13
8,1,44916
8,2,7982
8,3,15539
8,4,6990
8,5,12158
8,6,12399
8,7,6837
8,9,9034
8,10,18782
8,11,6713
8,12,8127
8,13,14292
8,14,6761
